файл	класс	правил_CSS	в_разметке	в_JS	статус
calc	zapst	6	1	0	ok
report	6	1	0	0	НЕиспользуется
report	a	12	1	1	много_правил(12)
report	ac	4	1	0	ok
report	ac-l	3	1	0	ok
report	ac-r	1	1	0	ok
report	ad	1	1	0	ok
report	alert	6	0	0	НЕиспользуется
report	amt	2	0	1	ok
report	an	2	1	0	ok
report	anim	1	0	0	НЕиспользуется
report	anim-bar	12	0	0	НЕиспользуется
report	anim-ring	4	0	0	НЕиспользуется
report	anim-wk	4	0	1	ok
report	apple	3	1	0	ok
report	appleg	2	1	0	ok
report	arw	1	0	0	НЕиспользуется
report	b	13	1	1	много_правил(13)
report	b0	1	0	1	ok
report	b1	2	0	0	НЕиспользуется
report	b2	3	0	1	ok
report	b3	3	0	0	НЕиспользуется
report	b4	2	0	0	НЕиспользуется
report	b5	2	0	0	НЕиспользуется
report	b6	2	0	0	НЕиспользуется
report	bad	2	0	0	НЕиспользуется
report	bad2	3	0	0	НЕиспользуется
report	bar	21	0	1	много_правил(21)
report	base	1	0	0	НЕиспользуется
report	bb1	1	0	1	ok
report	bb2	4	0	1	ok
report	bbc	6	0	1	ok
report	bbg	4	0	1	ok
report	bbn	1	0	1	ok
report	bbwin	8	0	1	много_правил(8)
report	bd	5	1	0	ok
report	best	4	0	0	НЕиспользуется
report	bestbox	24	1	0	много_правил(24)
report	bg	3	1	0	ok
report	big	13	1	0	много_правил(13)
report	big-h	4	1	0	ok
report	big2	5	0	0	НЕиспользуется
report	big3	1	0	1	ok
report	big4	1	0	0	НЕиспользуется
report	bigsum	6	0	1	ok
report	bl	12	0	1	много_правил(12)
report	bmc	7	0	0	НЕиспользуется
report	bmk	2	0	0	НЕиспользуется
report	bn	3	1	0	ok
report	brand	9	1	0	много_правил(9)
report	bt	14	1	1	много_правил(14)
report	btn2	6	1	0	ok
report	btx	2	1	0	ok
report	bx	2	1	0	ok
report	c	6	1	1	ok
report	c2	1	0	0	НЕиспользуется
report	c3	1	0	0	НЕиспользуется
report	cal	9	0	0	НЕиспользуется
report	calcline	7	0	0	НЕиспользуется
report	calsum	3	0	0	НЕиспользуется
report	cap2	3	0	0	НЕиспользуется
report	card	6	1	0	ok
report	cd	1	0	0	НЕиспользуется
report	cel	4	0	0	НЕиспользуется
report	ch2	2	1	0	ok
report	chd	1	1	0	ok
report	chg	10	0	0	НЕиспользуется
report	chip	2	0	0	НЕиспользуется
report	chips	1	0	0	НЕиспользуется
report	chn	2	0	0	НЕиспользуется
report	cmp2	2	0	0	НЕиспользуется
report	cmpar	2	0	0	НЕиспользуется
report	cmpb	12	0	0	НЕиспользуется
report	cmpres	3	0	0	НЕиспользуется
report	cn	24	1	0	много_правил(24)
report	cnd	3	1	0	ok
report	cnm	8	1	1	много_правил(8)
report	cnote	1	1	0	ok
report	cond	5	1	0	ok
report	cst	2	0	0	НЕиспользуется
report	cstc	9	0	0	НЕиспользуется
report	cta	18	1	0	много_правил(18)
report	ctr	2	1	0	ok
report	cu	4	0	0	НЕиспользуется
report	cx	1	0	0	НЕиспользуется
report	d	4	0	1	ok
report	d1	1	0	0	НЕиспользуется
report	d2	1	0	0	НЕиспользуется
report	d3	1	0	0	НЕиспользуется
report	dcond	2	0	1	ok
report	ddeco	4	1	0	ok
report	dec	1	1	0	ok
report	desc	1	0	0	НЕиспользуется
report	dfill	5	0	0	НЕиспользуется
report	dfoot	4	0	1	ok
report	dgrp	2	0	0	НЕиспользуется
report	disc	0	0	1	БЕЗ_стиля
report	dl	3	0	0	НЕиспользуется
report	dlbar	2	0	0	НЕиспользуется
report	dmap	2	1	0	ok
report	dmc	15	0	1	много_правил(15)
report	dn	26	1	1	много_правил(26)
report	dnote2	1	0	0	НЕиспользуется
report	dnote3	2	0	0	НЕиспользуется
report	dnsum	18	1	0	много_правил(18)
report	dnwrap	1	1	0	ok
report	done	2	0	1	ok
report	dp	1	0	0	НЕиспользуется
